match,bowlingTeam,bowlerName,bowlerNameUrl,overs,maidens,runs,wickets,economy,0s,4s,6s,wd,nb
Afghanistan Vs Sri Lanka,Sri Lanka,Mujeeb Ur Rahman,https://www.espncricinfo.com/cricketers/mujeeb-ur-rahman-974109,4,0,24,2,6.00,12,3,0,0,0
Afghanistan Vs Sri Lanka,Sri Lanka,Fareed Ahmad,https://www.espncricinfo.com/cricketers/fareed-ahmad-568136,2,0,25,0,12.50,3,3,1,1,0
Afghanistan Vs Sri Lanka,Sri Lanka,Rashid Khan,https://www.espncricinfo.com/cricketers/rashid-khan-793463,4,0,31,2,7.75,10,2,1,1,0
Afghanistan Vs Sri Lanka,Sri Lanka,Azmatullah Omarzai,https://www.espncricinfo.com/cricketers/azmatullah-omarzai-819429,2,0,17,0,8.50,2,1,0,1,0
Afghanistan Vs Sri Lanka,Sri Lanka,Mohammad Nabi,https://www.espncricinfo.com/cricketers/mohammad-nabi-25913,2,0,16,0,8.00,2,0,1,0,0
Afghanistan Vs Sri Lanka,Sri Lanka,Gulbadin Naib,https://www.espncricinfo.com/cricketers/gulbadin-naib-352048,1,0,12,0,12.00,1,2,0,0,0
Australia Vs Ireland,Australia,Josh Little,https://www.espncricinfo.com/cricketers/josh-little-928067,4,0,21,2,5.25,13,2,0,2,0
Australia Vs Ireland,Australia,Mark Adair,https://www.espncricinfo.com/cricketers/mark-adair-526441,4,0,59,0,14.75,6,7,2,6,0
Australia Vs Ireland,Australia,Barry McCarthy,https://www.espncricinfo.com/cricketers/barry-mccarthy-348059,4,0,29,3,7.25,7,2,0,1,0
Australia Vs Ireland,Australia,Gareth Delany,https://www.espncricinfo.com/cricketers/gareth-delany-1099379,3,0,29,0,9.66,10,2,2,2,0
Australia Vs Ireland,Australia,Fionn Hand,https://www.espncricinfo.com/cricketers/fionn-hand-1099225,1,0,15,0,15.00,2,0,2,1,0
Australia Vs Ireland,Australia,George Dockrell,https://www.espncricinfo.com/cricketers/george-dockrell-348034,4,0,24,0,6.00,8,0,1,0,0
